NCDS,Length,rawseq.p1,avsims.p1,sdsims.p1,z.score.p1,rawseq.m1,avsims.m1,sdsims.m1,z.score.m1,rawseq.01,avsims.01,sdsims.01,z.score.01,prod.type
S103,581,0.017211704,0.017996558,0.005107229,-0.153675062,0.018932874,0.017915663,0.005317069,0.191310532,0.024096386,0.018256454,0.005367811,1.087954082,inter
S104,82,0.036585366,0.021939024,0.015580342,0.940052623,0.024390244,0.019939024,0.014812181,0.300510752,0.036585366,0.021280488,0.015691623,0.975353394,5'
S105,203,0.024630542,0.02335468,0.009748014,0.130884329,0.019704433,0.023241379,0.010223049,-0.345977623,0.009852217,0.022901478,0.009967178,-1.309223244,5'
S106,96,0.0625,0.025885417,0.015252216,2.400607461,0.020833333,0.026697917,0.015181752,-0.386291633,0.020833333,0.028104167,0.016658049,-0.436475702,5'
S107,88,0.022727273,0.027159091,0.015875988,-0.279152259,0.022727273,0.026011364,0.015792635,-0.207950761,0.011363636,0.026806818,0.01604694,-0.962375526,5'
S108,138,0.043478261,0.028289855,0.01374212,1.105244787,0.028985507,0.027971014,0.013687729,0.074116941,0.007246377,0.028768116,0.013413681,-1.604461854,5'
S109,363,0.03030303,0.018895317,0.006794531,1.678955192,0.002754821,0.019636364,0.006773533,-2.492280114,0.019283747,0.019253444,0.006641742,0.004562575,3'MT
S110,101,0.02970297,0.031623762,0.016362401,-0.117390603,0.02970297,0.03109901,0.016412565,-0.085059199,0.03960396,0.031514851,0.016413737,0.49282553,5'
S112,109,0.027522936,0.025357798,0.014309388,0.151308892,0.04587156,0.024568808,0.014543032,1.464808206,0.009174312,0.025137615,0.013921705,-1.146648517,5'
S113,71,0.014084507,0.02643662,0.01768965,-0.698267784,0.056338028,0.027690141,0.017973467,1.593898778,0,0.026478873,0.018273438,-1.449036229,intra
S114,79,0,0.01943038,0.014838495,-1.309457617,0,0.019050633,0.014747419,-1.291794424,0.037974684,0.019594937,0.014669565,1.252917003,inter
S115,128,0.015625,0.016203125,0.010216869,-0.056585339,0.0078125,0.015601563,0.0100312,-0.776483603,0.015625,0.0155625,0.01016114,0.006150885,inter
S116,123,0.024390244,0.020308943,0.012271507,0.332583511,0,0.020487805,0.011875858,-1.725164167,0.008130081,0.021829268,0.012069759,-1.135000861,5'
S118,97,0.010309278,0.015360825,0.011549867,-0.437368394,0.010309278,0.015185567,0.011510057,-0.423654645,0,0.015443299,0.011850368,-1.303191523,inter
S119,65,0.046153846,0.027215385,0.01891213,1.001392279,0.015384615,0.025369231,0.017303857,-0.577016788,0.015384615,0.026292308,0.019809609,-0.550626359,5'
S120,2448,0.008578431,0.015161765,0.002320996,-2.836426291,0.011846405,0.015131127,0.002317423,-1.417403277,0.017973856,0.015196487,0.002319702,1.197295606,3'MT
S121,1670,0.015568862,0.017987425,0.003149219,-0.767988244,0.020958084,0.018000599,0.002957361,1.000042097,0.013173653,0.018028144,0.002999315,-1.618533091,inter
S122,2835,0.019753086,0.021946032,0.002655187,-0.825910146,0.02292769,0.021926279,0.002683999,0.373104186,0.003174603,0.021938272,0.002663642,-7.044367105,inter
S123,223,0.035874439,0.022107624,0.009326304,1.476127742,0.00896861,0.021484305,0.009008158,-1.389373475,0.013452915,0.022116592,0.009119263,-0.950041352,5'
S124,143,0.027972028,0.029783217,0.01337398,-0.135426312,0.020979021,0.029797203,0.013643867,-0.646311044,0.013986014,0.02941958,0.013067089,-1.181102092,inter
S125,3144,0.016221374,0.017214059,0.002113657,-0.469652568,0.018765903,0.017292621,0.002110354,0.698120874,0.018765903,0.017368639,0.00214335,0.651906849,5'
S126,301,0.033222591,0.025019934,0.008458083,0.969801,0.013289037,0.024887043,0.008502952,-1.363997658,0.033222591,0.024960133,0.008332264,0.991622263,5'
S127,152,0.019736842,0.018730263,0.010685939,0.094196586,0.026315789,0.018625,0.01024472,0.750707595,0.013157895,0.018875,0.01052302,-0.543295049,3'PT
S128,505,0.037623762,0.024629703,0.006185041,2.100885051,0.005940594,0.024219802,0.006444086,-2.836586755,0.01980198,0.024467326,0.006286105,-0.742168131,5'
S129,105,0.00952381,0.01652381,0.012100821,-0.57847311,0,0.016142857,0.011931568,-1.352953547,0.028571429,0.016419048,0.0115678,1.050535215,inter
S130,101,0.02970297,0.025534653,0.014712108,0.283325591,0.04950495,0.025673267,0.014916099,1.597715514,0.00990099,0.02570297,0.01499298,-1.053958617,5'
S131,67,0.014925373,0.020716418,0.016544187,-0.350035026,0.014925373,0.018044776,0.015699516,-0.198694211,0.029850746,0.02061194,0.016095906,0.573984829,5'
S132,73,0,0.025945205,0.01785275,-1.453289028,0,0.023917808,0.016466465,-1.452516229,0.01369863,0.025547945,0.017491415,-0.677436048,5'
S133,725,0.023448276,0.017937931,0.004586291,1.201481712,0.005517241,0.017786207,0.004521261,-2.713616116,0.019310345,0.017510345,0.004710226,0.382147311,inter
S134,97,0.020618557,0.027525773,0.016220579,-0.425830423,0.030927835,0.026474227,0.015254825,0.291947506,0.020618557,0.027484536,0.016251193,-0.422490766,5'
S135,426,0.016431925,0.021483568,0.006564682,-0.769518352,0.007042254,0.021199531,0.00662954,-2.135484066,0.018779343,0.021091549,0.006587278,-0.351010868,3'
S136,411,0.01216545,0.016839416,0.005719721,-0.817166801,0.01459854,0.017250608,0.006043704,-0.438814985,0.01703163,0.016861314,0.006058981,0.028109727,inter
S137,101,0.00990099,0.023940594,0.014810218,-0.947967386,0.02970297,0.02519802,0.014852228,0.303318149,0.00990099,0.025178218,0.015075763,-1.013363444,intra
S138,88,0.011363636,0.015409091,0.012419464,-0.325735056,0,0.015454545,0.012528973,-1.233504589,0.011363636,0.015909091,0.011935081,-0.380848249,5'
S139,82,0.012195122,0.029865854,0.017355781,-1.018146714,0.012195122,0.030146342,0.017354997,-1.034354549,0.036585366,0.031353659,0.017861188,0.292909262,5'
S141,132,0,0.023257576,0.012621939,-1.842630935,0.03030303,0.023265152,0.012055912,0.583769903,0.022727273,0.022530303,0.011929843,0.016510689,5'
S142,154,0.019480519,0.027818182,0.012743157,-0.654285463,0.019480519,0.027474026,0.01260712,-0.634047024,0.012987013,0.027746753,0.012581703,-1.17311143,inter
S143,860,0,0.015868605,0.00402372,-3.943764185,0.013953488,0.015554651,0.004088865,-0.391591112,0.019767442,0.015893023,0.004025635,0.962436735,3'PT
S146,72,0,0.020277778,0.015870483,-1.277703856,0.027777778,0.020402778,0.015764515,0.467822832,0,0.020583333,0.016083651,-1.27976745,3'
S147,78,0.025641026,0.018628205,0.014567409,0.481404802,0,0.018423077,0.01422593,-1.295034948,0.025641026,0.019692308,0.014707425,0.40447041,5'
S148,294,0,0.018387755,0.007467504,-2.462369646,0.020408163,0.018517007,0.007635963,0.247664412,0.013605442,0.018363946,0.007740601,-0.614745989,3'PT
S149,788,0.019035533,0.017769036,0.004439854,0.28525656,0.008883249,0.017913706,0.004609891,-1.958930583,0.021573604,0.017852792,0.004342454,0.856845407,5'
S150,75,0,0.018333333,0.014809058,-1.237981057,0.026666667,0.019786667,0.01511455,0.455190567,0.026666667,0.019426667,0.015292505,0.473434561,inter
S151,244,0.008196721,0.019463115,0.008518597,-1.322564403,0.008196721,0.018856557,0.00817392,-1.304127827,0.024590164,0.019659836,0.008589154,0.574017858,3'
S152,70,0,0.025585714,0.017824976,-1.435385618,0.014285714,0.025157143,0.017257582,-0.629950859,0.014285714,0.026157143,0.017751016,-0.668774614,inter
S153,169,0.017751479,0.019923077,0.010261314,-0.211629616,0.023668639,0.020207101,0.010159132,0.340731698,0.023668639,0.020597633,0.010362137,0.296367988,5'
S154,70,0.028571429,0.022857143,0.016545185,0.345374575,0.014285714,0.0222,0.016784738,-0.471516794,0.042857143,0.024457143,0.017441135,1.054977244,3'
S155,350,0.02,0.019154286,0.007009266,0.120656608,0.002857143,0.019082857,0.006911576,-2.347614171,0.014285714,0.018697143,0.006861803,-0.642896442,inter
S156,158,0.03164557,0.030455696,0.012656099,0.094015829,0.037974684,0.029151899,0.01211894,0.72801624,0.018987342,0.030329114,0.013128967,-0.863873923,5'
S157,175,0.017142857,0.020457143,0.010309267,-0.321486096,0.011428571,0.020662857,0.01018638,-0.90653263,0.017142857,0.020834286,0.009867143,-0.374113223,5'
S158,68,0,0.020882353,0.016914469,-1.234585212,0.044117647,0.021367647,0.016448528,1.383102481,0.014705882,0.020588235,0.016304502,-0.360780929,5'
S159,60,0.016666667,0.0303,0.020832923,-0.65441288,0.016666667,0.029,0.020615056,-0.598268229,0.05,0.031666667,0.020960158,0.874675348,5'
S160,328,0.018292683,0.016222561,0.006433152,0.321789733,0.009146341,0.016109756,0.006461571,-1.077665988,0.015243902,0.016719512,0.006568963,-0.224633638,inter
S161,602,0.016611296,0.019081395,0.005296894,-0.466329802,0.009966777,0.019383721,0.005208448,-1.808013466,0.033222591,0.019008306,0.005025817,2.828253434,5'
S162,142,0,0.022788733,0.011710209,-1.94605686,0.021126761,0.022570423,0.011484779,-0.125702176,0.028169014,0.022788733,0.011590901,0.464181462,5'
S164,600,0.011666667,0.018293333,0.005204479,-1.273262282,0.021666667,0.0181,0.005215413,0.683870464,0,0.018228333,0.00503713,-3.618793335,5'
S165,589,0.030560272,0.021398981,0.005582615,1.641039445,0.0237691,0.021013582,0.005556111,0.495943566,0.003395586,0.021093379,0.005479069,-3.230072675,5'
S167,217,0.023041475,0.019336406,0.008740201,0.423911211,0.01843318,0.020115208,0.009248565,-0.181869031,0.00921659,0.019626728,0.008878153,-1.172556719,5'
S168,88,0.045454545,0.026636364,0.016109427,1.168147144,0.022727273,0.025386364,0.015897728,-0.167262301,0.011363636,0.026477273,0.016393522,-0.921927362,5'
S169,899,0.011123471,0.023136819,0.004721388,-2.544452626,0.026696329,0.02260178,0.00462133,0.886011024,0.028921023,0.023067853,0.004689982,1.248015474,3'PT
S171,318,0.01572327,0.026465409,0.008677512,-1.237928383,0.040880503,0.026339623,0.008219199,1.769135909,0.037735849,0.026691824,0.008237985,1.340622186,5'
S172,264,0.022727273,0.01767803,0.00752641,0.670869963,0.018939394,0.018125,0.007587858,0.107328579,0.018939394,0.017647727,0.007774783,0.166135394,intra
S173,115,0,0.034095652,0.016264025,-2.096384652,0.069565217,0.031113044,0.015484823,2.483216852,0.008695652,0.031391304,0.015421109,-1.471726387,3'
S174,259,0.023166023,0.028965251,0.01011617,-0.573263209,0.030888031,0.029096525,0.009782235,0.183138715,0.042471042,0.028795367,0.009871472,1.385373408,3'MT
S175,317,0.009463722,0.021536278,0.007945153,-1.519486834,0.015772871,0.021798107,0.00804658,-0.748794695,0.018927445,0.022201893,0.00766013,-0.427466355,3'
S176,445,0.024719101,0.025822472,0.007034001,-0.156862471,0.017977528,0.025478652,0.007403671,-1.013162736,0.015730337,0.025714607,0.007230616,-1.380832571,5'
S177,70,0.028571429,0.027685714,0.019187368,0.046161342,0.028571429,0.026171429,0.018066631,0.132841615,0.028571429,0.028,0.018757987,0.030463234,3'
S178,560,0.023214286,0.027444643,0.00628694,-0.672880069,0.026785714,0.027157143,0.006219021,-0.059724646,0.0125,0.027108929,0.006548409,-2.230912834,5'
S179,118,0.025423729,0.029288136,0.014636864,-0.264018755,0.016949153,0.028855932,0.014411432,-0.826203755,0.025423729,0.02940678,0.014570496,-0.273364122,5'
S180,789,0.019011407,0.026945501,0.005563076,-1.426206174,0.025348542,0.026812421,0.005634671,-0.259798454,0.020278834,0.026745247,0.005323381,-1.214719292,3'MT
S182,111,0.027027027,0.021387387,0.013442306,0.419544062,0.009009009,0.022108108,0.012829259,-1.021033199,0.036036036,0.022108108,0.013603795,1.023826654,5'
S183,1255,0.019123506,0.020660558,0.00372358,-0.412788681,0.020717131,0.020631872,0.003871654,0.022021232,0.01752988,0.020440637,0.003728069,-0.780768117,inter
S184,81,0.024691358,0.022283951,0.015658018,0.153749175,0.012345679,0.021580247,0.015469417,-0.59695643,0.012345679,0.021864198,0.015665733,-0.607601202,intra
S185,65,0,0.019046154,0.015677175,-1.214897037,0,0.017861538,0.01578053,-1.131871905,0.046153846,0.019184615,0.016347702,1.649726078,5'
S186,187,0.032085561,0.026620321,0.011078438,0.493322282,0.010695187,0.025673797,0.010885397,-1.376027815,0.016042781,0.025775401,0.010904054,-0.892568969,5'
S187,408,0.022058824,0.022446078,0.00719673,-0.053809779,0.017156863,0.023377451,0.007360933,-0.845081419,0.014705882,0.023348039,0.007190163,-1.201941767,3'
S188,96,0.03125,0.023760417,0.014650208,0.511227113,0.03125,0.023822917,0.014607857,0.508430714,0.010416667,0.024114583,0.014760026,-0.928041463,5'
S189,93,0.010752688,0.016634409,0.012330976,-0.476987428,0,0.016763441,0.012858115,-1.303724549,0.021505376,0.01655914,0.012010554,0.411824167,5'
S190,89,0.011235955,0.030393258,0.017738821,-1.079964883,0.02247191,0.02994382,0.016661728,-0.448447493,0.02247191,0.030629213,0.01733874,-0.470466908,5'
S191,70,0.028571429,0.029485714,0.019471391,-0.046955318,0.042857143,0.029228571,0.019648834,0.693607127,0.042857143,0.029242857,0.018847029,0.722357114,5'
