CDS,Length,rawseq.p1,avsims.p1,sdsims.p1,z.score.p1,rawseq.m1,avsims.m1,sdsims.m1,z.score.m1,highest.exp,lowest.exp
BSU00360,879,0.01592719,0.017045506,0.002161643,-0.517345392,0.025028441,0.029437998,0.003325611,-1.325938872,n,n
BSU00370,291,0.017182131,0.01866323,0.003175847,-0.46636349,0.065292096,0.056402062,0.004697104,1.8926626,n,n
BSU00380,1995,0.0160401,0.015565915,0.001419095,0.334146148,0.026065163,0.027693734,0.002364473,-0.688767091,n,n
BSU00390,768,0.026041667,0.02366276,0.002117123,1.123650667,0.032552083,0.028776042,0.003179314,1.187690604,n,n
BSU00400,1314,0.02130898,0.020775495,0.001770615,0.301299457,0.02130898,0.029299848,0.002804864,-2.848932414,n,n
BSU00410,561,0.016042781,0.015818182,0.002277009,0.098637818,0.03030303,0.025910873,0.003721634,1.18016886,n,n
BSU00420,879,0.019340159,0.021075085,0.002180341,-0.795713281,0.03185438,0.025302617,0.003123163,2.09779714,n,n
BSU00430,873,0.017182131,0.01607331,0.00231007,0.479994362,0.026345934,0.026515464,0.003056771,-0.055460488,n,n
BSU00440,261,0.030651341,0.025452107,0.004081288,1.273919718,0.045977011,0.043915709,0.005998349,0.343644866,y,n
BSU00460,870,0.031034483,0.028467816,0.002370985,1.082531939,0.02183908,0.024870115,0.003177256,-0.953978849,n,n
BSU00470,858,0.024475524,0.025949883,0.00250227,-0.58920877,0.027972028,0.02605711,0.003271599,0.585315541,n,n
BSU00480,378,0.021164021,0.02023545,0.003171555,0.292781048,0.010582011,0.019878307,0.004439892,-2.093811474,n,n
BSU00490,294,0.020408163,0.019503401,0.003890884,0.232533712,0.030612245,0.040020408,0.00575434,-1.634968128,n,n
BSU00500,1371,0.021881838,0.020423049,0.001683516,0.866513399,0.030634573,0.032927061,0.002779661,-0.824736553,n,n
BSU00510,954,0.01572327,0.014964361,0.002001924,0.37909003,0.034591195,0.031865828,0.003478285,0.783537491,n,n
BSU00520,615,0.019512195,0.020728455,0.002868252,-0.424042347,0.029268293,0.031874797,0.004218916,-0.617813629,y,n
BSU00530,567,0.029982363,0.024447972,0.002914959,1.898617117,0.028218695,0.029693122,0.003606383,-0.408838163,n,n
BSU00540,231,0.021645022,0.01738961,0.003985409,1.067747829,0.017316017,0.024376623,0.006005881,-1.175615329,n,n
BSU00550,3534,0.016694963,0.015796831,0.001141512,0.786791555,0.028579513,0.02749519,0.001802211,0.601662588,n,n
BSU00560,537,0.027932961,0.022504655,0.002804474,1.935588002,0.027932961,0.032238361,0.004334591,-0.993265456,n,n
BSU00570,1599,0.023764853,0.02293621,0.001990031,0.416397018,0.009380863,0.01327955,0.001941623,-2.007952759,n,n
BSU00580,1470,0.017687075,0.016289116,0.001742949,0.802065332,0.033333333,0.030581633,0.002634505,1.044484833,n,n
BSU00590,261,0.042145594,0.031950192,0.004220289,2.415806585,0.034482759,0.028957854,0.00472082,1.170327422,n,n
BSU00600,303,0.02640264,0.023881188,0.003848337,0.65520555,0.03960396,0.042155115,0.004514753,-0.565070781,n,n
BSU00610,636,0.02672956,0.022210692,0.00325833,1.386866346,0.009433962,0.015157232,0.00298411,-1.917914983,n,n
BSU00620,378,0.029100529,0.030420635,0.003539232,-0.372992146,0.013227513,0.015267196,0.004054536,-0.503061961,y,n
BSU00630,387,0.015503876,0.016260982,0.002788203,-0.271539052,0.03875969,0.039299742,0.005459345,-0.098922485,y,n
BSU00640,2484,0.018921095,0.019019726,0.001405976,-0.070151432,0.021336554,0.023345008,0.002057911,-0.975967553,n,n
BSU00650,738,0.021680217,0.018930894,0.002685556,1.023744365,0.014905149,0.020025745,0.003157382,-1.621785537,n,n
BSU00660,1017,0.02359882,0.024163225,0.002121521,-0.266038038,0.022615536,0.024147493,0.002846606,-0.538169606,n,n
BSU00670,1419,0.018322763,0.017625793,0.001722299,0.404674395,0.025369979,0.025326991,0.002650299,0.016220057,n,n
BSU00680,543,0.027624309,0.028876611,0.003068593,-0.408103086,0.022099448,0.026077348,0.004258784,-0.934045946,y,n
BSU00690,1914,0.017763845,0.017033438,0.001479937,0.493539364,0.029780564,0.028439916,0.002436697,0.550190581,y,n
BSU00700,777,0.023166023,0.027239382,0.002360214,-1.725843372,0.015444015,0.024433719,0.003502484,-2.566665344,n,n
BSU00710,876,0.029680365,0.024545662,0.002084805,2.462917896,0.025114155,0.025812785,0.003155127,-0.221426901,n,n
BSU00720,894,0.01901566,0.016972036,0.001854875,1.101758371,0.030201342,0.032034676,0.003253696,-0.563462054,n,n
BSU00730,927,0.020496224,0.018509169,0.001831943,1.084670789,0.030204962,0.025566343,0.003542632,1.309370919,y,n
BSU00740,1413,0.01910828,0.017322718,0.001833264,0.973980059,0.028308563,0.027723284,0.002576733,0.227139931,n,n
BSU00750,585,0.020512821,0.021010256,0.002653005,-0.187498893,0.025641026,0.02574359,0.004101908,-0.025003974,n,n
BSU00760,882,0.020408163,0.020376417,0.002388944,0.013288616,0.02154195,0.027004535,0.003256777,-1.67729773,n,n
BSU00770,858,0.020979021,0.019837995,0.002339898,0.487638976,0.03030303,0.030560606,0.003476449,-0.074091693,n,n
BSU00780,363,0.019283747,0.016137741,0.003350609,0.938935562,0.024793388,0.032195592,0.004720293,-1.568166179,n,n
BSU00790,504,0.025793651,0.021573413,0.003217408,1.311689017,0.027777778,0.028009921,0.004251731,-0.05459964,n,n
BSU00800,210,0.019047619,0.017595238,0.003841018,0.378124,0.00952381,0.011485714,0.005356924,-0.366237062,n,n
BSU00810,1002,0.023952096,0.019705589,0.002146196,1.97862055,0.026946108,0.026164671,0.003286565,0.237767122,n,n
BSU00820,1500,0.023333333,0.019858,0.001548192,2.244768223,0.030666667,0.03032,0.002824933,0.122716888,n,n
BSU00830,465,0.038709677,0.035107527,0.003090675,1.165489654,0.038709677,0.037888172,0.00417772,0.196639545,y,n
BSU00840,558,0.019713262,0.01722043,0.002697942,0.923975192,0.023297491,0.028250896,0.003989321,-1.241666136,n,n
BSU00850,1092,0.032051282,0.029358974,0.002362043,1.139821458,0.023809524,0.026814103,0.003013205,-0.99713717,n,n
BSU00860,2433,0.0189067,0.016525688,0.001345777,1.769247368,0.036169338,0.034211673,0.00225178,0.869385579,n,n
BSU00870,1377,0.015250545,0.016479303,0.001777544,-0.691267234,0.01815541,0.024003631,0.00274549,-2.130119028,n,n
BSU00880,1083,0.024930748,0.024082179,0.00235791,0.359881717,0.027700831,0.028715605,0.002828347,-0.358786943,n,n
BSU00890,1101,0.029064487,0.028574024,0.002539932,0.193100954,0.024523161,0.02609446,0.00296152,-0.530571788,y,n
BSU00900,699,0.025751073,0.021028612,0.002682514,1.760460761,0.030042918,0.028329041,0.003679605,0.465777384,n,n
BSU00910,477,0.020964361,0.020236897,0.002896194,0.251179213,0.020964361,0.020280923,0.003728408,0.183305562,n,n
BSU00920,1452,0.017217631,0.01484022,0.001615039,1.472045541,0.032369146,0.032314738,0.002714958,0.020040091,n,n
BSU00930,654,0.019877676,0.020166667,0.002882104,-0.100270745,0.02293578,0.024269113,0.003405558,-0.391516702,n,n
BSU00940,1401,0.017130621,0.011552463,0.001564061,3.566457506,0.031406138,0.030132049,0.002730452,0.466621938,n,n
BSU00950,432,0.011574074,0.010592593,0.002889146,0.339713271,0.032407407,0.030960648,0.004110689,0.351950483,n,n
BSU00960,750,0.024,0.019936,0.00236675,1.717122645,0.02,0.021685333,0.002895827,-0.58198673,n,n
BSU00970,513,0.031189084,0.025789474,0.002926155,1.845292147,0.027290448,0.025844055,0.004346764,0.332751696,n,n
BSU00980,657,0.02739726,0.025004566,0.002549466,0.93850792,0.02283105,0.030098934,0.003889747,-1.86847223,n,n
BSU00990,150,0.033333333,0.03004,0.003334761,0.987576885,0.02,0.019186667,0.00512817,0.158601037,n,n
BSU01000,180,0.044444444,0.040588889,0.00359519,1.072420263,0.022222222,0.020761111,0.004254327,0.34344112,n,n
BSU01010,534,0.020599251,0.01711985,0.002621586,1.327212022,0.033707865,0.036434457,0.004304407,-0.633441956,n,n
BSU01020,426,0.011737089,0.016953052,0.002605473,-2.001925411,0.044600939,0.033239437,0.004753449,2.390159678,n,n
BSU01030,699,0.015736767,0.013618026,0.001827199,1.159557093,0.042918455,0.041553648,0.003511252,0.388695271,n,n
BSU01040,501,0.013972056,0.010842315,0.002727487,1.147481323,0.0499002,0.044469062,0.004573607,1.187495508,n,n
BSU01050,372,0.024193548,0.023943548,0.002566131,0.097422795,0.034946237,0.040016129,0.00471932,-1.074284392,n,n
BSU01060,606,0.01650165,0.015513201,0.00262097,0.377130864,0.034653465,0.032486798,0.004226998,0.512578241,n,n
BSU01070,3582,0.017029592,0.014301787,0.001031818,2.643687479,0.034059185,0.032400056,0.001788909,0.927453121,n,n
BSU01080,3600,0.018055556,0.014909722,0.001066179,2.950569428,0.035,0.031034444,0.001864733,2.126607961,y,n
BSU01090,249,0.024096386,0.024481928,0.00370183,-0.104148944,0.020080321,0.023726908,0.005797088,-0.629037743,y,n
BSU01100,417,0.014388489,0.01541247,0.002905678,-0.352406861,0.026378897,0.031268585,0.004458714,-1.096658815,y,n
BSU01110,471,0.021231423,0.017503185,0.002584612,1.442475308,0.036093418,0.036087049,0.004076587,0.001562336,y,n
BSU01120,2079,0.010582011,0.010111111,0.00112538,0.418436317,0.034632035,0.033962482,0.002266964,0.295352225,y,n
BSU01130,1191,0.009235936,0.011427372,0.001305705,-1.678354942,0.039462636,0.035783375,0.002681601,1.37203882,y,n
BSU01140,957,0.015673981,0.017672936,0.002203265,-0.907269468,0.024033438,0.020739812,0.003044572,1.08180274,n,n
BSU01150,309,0.012944984,0.01207767,0.003517484,0.246572274,0.03236246,0.030689321,0.005011595,0.333853583,n,n
BSU01160,630,0.015873016,0.01887619,0.002328788,-1.289587144,0.033333333,0.036377778,0.004081522,-0.745909162,n,n
BSU01170,624,0.016025641,0.0205,0.00269763,-1.658626029,0.025641026,0.025152244,0.004011612,0.121841778,n,n
BSU01180,288,0.034722222,0.029923611,0.002553008,1.879590874,0.034722222,0.040597222,0.005553053,-1.057976661,n,n
BSU01190,834,0.011990408,0.01167506,0.001724244,0.182890668,0.039568345,0.033604316,0.003428817,1.739384025,n,n
BSU01200,279,0.021505376,0.022100358,0.002443879,-0.243458199,0.032258065,0.033913979,0.00517998,-0.319675759,n,n
BSU01210,342,0.020467836,0.023245614,0.002814358,-0.98700233,0.023391813,0.028058479,0.005072736,-0.919950478,n,n
BSU01220,657,0.01065449,0.010056317,0.00229061,0.261141581,0.03957382,0.04165449,0.003808392,-0.546338218,n,n
BSU01230,435,0.013793103,0.016167816,0.002561081,-0.92723089,0.034482759,0.03931954,0.004678218,-1.033893996,n,n
BSU01240,201,0.024875622,0.022810945,0.00245258,0.841838692,0.054726368,0.043651741,0.005509038,2.010265133,n,n
BSU01250,264,0.011363636,0.008079545,0.002201043,1.492060872,0.049242424,0.049329545,0.004965141,-0.017546532,n,n
BSU01260,369,0.01897019,0.018783198,0.002786583,0.067104466,0.037940379,0.033430894,0.005408583,0.833764518,n,n
BSU01270,312,0.022435897,0.022092949,0.002979934,0.115085862,0.038461538,0.037839743,0.005310375,0.117090594,n,n
BSU01280,540,0.02037037,0.021485185,0.002396894,-0.465108274,0.037037037,0.028953704,0.00439299,1.84005265,n,n
BSU01290,186,0.010752688,0.01633871,0.003049865,-1.831563586,0.037634409,0.030295699,0.004447961,1.649904363,n,n
BSU01300,399,0.020050125,0.021142857,0.002889533,-0.378169081,0.030075188,0.036263158,0.005096523,-1.214155166,n,n
BSU01310,540,0.022222222,0.022140741,0.002755639,0.029568915,0.038888889,0.0422,0.00421321,-0.785887948,n,n
BSU01320,363,0.022038567,0.020669421,0.003103621,0.441144522,0.044077135,0.049586777,0.005670005,-0.971717248,n,n
BSU01330,501,0.02994012,0.028778443,0.002964244,0.391896483,0.031936128,0.029315369,0.004304942,0.608779147,n,n
BSU01340,180,0.033333333,0.031255556,0.004107621,0.505834731,0.027777778,0.036966667,0.004871982,-1.886068072,n,n
BSU01350,441,0.027210884,0.024029478,0.00236707,1.344027012,0.029478458,0.042133787,0.004728197,-2.6765657,n,n
BSU01360,1296,0.021604938,0.021811728,0.002106019,-0.098190199,0.015432099,0.015845679,0.002370993,-0.174433207,n,n
BSU01370,654,0.019877676,0.016178899,0.002019961,1.831113451,0.03058104,0.03064526,0.003950436,-0.016256435,n,n
BSU01380,747,0.016064257,0.017605087,0.002321459,-0.663733483,0.03480589,0.032376171,0.00387368,0.627237885,n,n
BSU01389,225,0.035555556,0.032035556,0.004815428,0.730983968,0.008888889,0.0174,0.004213262,-2.020076225,n,n
BSU01390,219,0.01826484,0.023050228,0.004991373,-0.958731891,0.02283105,0.02379452,0.00677999,-0.142104939,n,n
BSU01400,114,0.035087719,0.033175439,0.003623632,0.527724852,0.035087719,0.034877193,0.005683803,0.037039634,n,n
BSU01410,366,0.019125683,0.015021858,0.002779685,1.476363301,0.030054645,0.036284153,0.005557768,-1.120865107,y,n
BSU01420,396,0.012626263,0.010628788,0.001697321,1.176840214,0.035353535,0.031906566,0.004737319,0.727620249,n,n
BSU01430,945,0.022222222,0.022395767,0.002130945,-0.081440504,0.031746032,0.033503704,0.003476778,-0.505546229,y,n
BSU01440,363,0.013774105,0.012727273,0.002501317,0.418512374,0.024793388,0.025876033,0.004964642,-0.218071118,y,n
BSU01450,846,0.027186761,0.024411348,0.002575542,1.077603516,0.026004728,0.023154846,0.003168922,0.899322349,n,n
BSU01460,831,0.019253911,0.01977136,0.002549209,-0.202984065,0.026474128,0.023699158,0.003201832,0.866681956,n,n
BSU01470,798,0.028822055,0.028974937,0.002737425,-0.055848962,0.013784461,0.016799499,0.002850523,-1.057714048,n,n
BSU01480,744,0.010752688,0.012822581,0.002456311,-0.842683412,0.025537634,0.026013441,0.003580364,-0.132893485,n,n
BSU01490,438,0.01826484,0.014383562,0.002520965,1.539600349,0.02739726,0.029018265,0.004449243,-0.364332802,y,n
BSU01500,393,0.022900763,0.020119593,0.003184137,0.873445372,0.027989822,0.027063613,0.00377561,0.245313764,n,n
BSU01510,768,0.03125,0.029097656,0.002577503,0.835049847,0.02734375,0.03143099,0.003594151,-1.137192201,n,n
BSU01520,444,0.009009009,0.011087838,0.003181234,-0.653466099,0.029279279,0.029542793,0.003550993,-0.074208533,n,n
BSU01530,714,0.016806723,0.016556022,0.002589475,0.096815204,0.021008403,0.020390756,0.003484753,0.177242687,n,n
BSU01540,1059,0.023607177,0.024086874,0.002357726,-0.203457642,0.021718602,0.024236072,0.002846917,-0.884279277,y,n
BSU01550,558,0.02688172,0.027396057,0.002754845,-0.186702852,0.039426523,0.032252688,0.003932786,1.824110111,n,n
BSU01560,597,0.036850921,0.031901173,0.003097875,1.59778855,0.013400335,0.016050251,0.00294463,-0.899914887,n,n
BSU01570,765,0.022222222,0.022048366,0.002335631,0.074436406,0.020915033,0.025184314,0.00333314,-1.280858616,n,n
BSU01580,1437,0.03131524,0.028667363,0.002000649,1.323509024,0.022964509,0.022709116,0.002270467,0.112484792,n,n
BSU01590,921,0.035830619,0.034142237,0.002737218,0.616824133,0.010857763,0.013512486,0.002496876,-1.063217972,n,n
BSU01600,753,0.015936255,0.016022576,0.002424906,-0.035597816,0.011952191,0.013739708,0.002979423,-0.599954067,n,n
BSU01610,1011,0.018793274,0.016914936,0.002363253,0.794810653,0.006923838,0.011985163,0.002490471,-2.032276094,n,n
BSU01620,1005,0.020895522,0.019979104,0.002566974,0.357003024,0.007960199,0.013476617,0.002397549,-2.30085682,n,n
BSU01630,954,0.019916143,0.019312369,0.001987145,0.303839878,0.026205451,0.02577673,0.003346083,0.128126213,n,n
BSU01640,1590,0.016981132,0.013619497,0.001545688,2.174846904,0.013836478,0.01882956,0.002246087,-2.223013258,n,n
BSU01650,1245,0.017670683,0.016304418,0.001856959,0.735754322,0.023293173,0.022313253,0.002666451,0.367499661,n,n
BSU01660,1929,0.020736133,0.018882841,0.001539334,1.203956956,0.016588906,0.022491446,0.002173748,-2.71537474,n,n
BSU01670,1326,0.015082956,0.015344646,0.001721011,-0.152055736,0.018853695,0.019346908,0.002553182,-0.193175772,n,n
BSU01680,1368,0.016081871,0.014944444,0.001820317,0.624850781,0.010964912,0.01250731,0.001986002,-0.776634485,n,n
BSU01690,852,0.018779343,0.016170188,0.002198561,1.186756046,0.015258216,0.019068075,0.003080035,-1.236953347,n,n
BSU01700,915,0.016393443,0.018822951,0.001729325,-1.404888202,0.017486339,0.017676503,0.00327955,-0.057984789,n,n
BSU01710,483,0.014492754,0.014950311,0.003073933,-0.148850509,0.01242236,0.014447205,0.003295797,-0.614371864,n,n
BSU01720,456,0.01754386,0.017692982,0.002810972,-0.053050147,0.013157895,0.01622807,0.004111778,-0.746678182,n,n
BSU01730,564,0.019503546,0.020464539,0.002733381,-0.351576738,0.023049645,0.031466312,0.004349942,-1.934891926,y,n
BSU01740,627,0.01754386,0.02069378,0.002714733,-1.160305622,0.022328549,0.025641148,0.003762954,-0.880318709,y,n
BSU01750,822,0.023114355,0.019417275,0.002590416,1.42721464,0.023114355,0.025575426,0.0030817,-0.798608152,n,n
BSU01760,1452,0.023415978,0.018788567,0.001647397,2.808922761,0.035812672,0.036137741,0.002868899,-0.113307924,n,n
BSU01770,1347,0.021529324,0.020250928,0.001880041,0.67998293,0.026726058,0.023252413,0.002674145,1.298973974,n,n
BSU01780,1803,0.019412091,0.018335552,0.00158897,0.677507501,0.019412091,0.023643927,0.002476852,-1.708554508,n,n
BSU01790,141,0.014184397,0.016546099,0.005395153,-0.437745198,0.028368794,0.035482269,0.004972043,-1.430694494,n,n
BSU01800,912,0.032894737,0.034997807,0.002210821,-0.951261811,0.030701754,0.029074561,0.003225324,0.504505259,n,n
BSU01810,636,0.01572327,0.01765566,0.002271262,-0.850800292,0.048742138,0.044110063,0.003834361,1.208043592,n,n
BSU01820,540,0.022222222,0.018803704,0.002734518,1.250135713,0.027777778,0.03377963,0.004249661,-1.412313067,n,n
BSU01830,1518,0.03030303,0.02897365,0.002099149,0.633295092,0.011198946,0.014125824,0.001892722,-1.546385262,n,n
BSU01845,2616,0.021024465,0.021146407,0.001404667,-0.086811868,0.029434251,0.031156728,0.001958672,-0.879410451,n,n
BSU01860,528,0.024621212,0.026399621,0.002788305,-0.637810161,0.041666667,0.037541667,0.003983914,1.035413824,n,n
BSU01870,291,0.037800687,0.037467354,0.002960782,0.112582757,0.041237113,0.038762886,0.004277142,0.578476743,n,n
BSU01880,375,0.034666667,0.034853333,0.00378734,-0.049286923,0.029333333,0.032042667,0.004623996,-0.585929143,n,n
BSU01889,303,0.02310231,0.021458746,0.003565522,0.46096027,0.02970297,0.033960396,0.004580004,-0.929568156,n,n
BSU01890,1173,0.023870418,0.025321398,0.0022841,-0.635252559,0.007672634,0.009462063,0.001902882,-0.940378497,n,n
BSU01900,315,0.041269841,0.040212698,0.004503153,0.234756079,0.015873016,0.021069841,0.004645533,-1.118671454,n,y
BSU01910,168,0.035714286,0.031196429,0.002547049,1.773761149,0.005952381,0.011339286,0.005232504,-1.029507989,n,n
BSU01920,1233,0.0243309,0.024326034,0.002099717,0.002317425,0.03487429,0.03521249,0.002977772,-0.11357486,n,n
BSU01935,1491,0.028839705,0.028901408,0.002256439,-0.027345499,0.018108652,0.020387659,0.002371449,-0.961018724,n,n
BSU01950,720,0.020833333,0.020605556,0.00275583,0.082652928,0.020833333,0.021783333,0.003399271,-0.279471695,n,n
BSU01960,1344,0.023809524,0.021107143,0.002212139,1.221614273,0.008928571,0.01268006,0.00208547,-1.798869522,n,n
BSU01970,516,0.027131783,0.029482558,0.002303712,-1.02042935,0.031007752,0.025718992,0.003675614,1.438877809,n,n
BSU01980,426,0.035211268,0.026603286,0.003621794,2.376717769,0.021126761,0.021307512,0.003939109,-0.045886266,n,n
BSU01990,978,0.021472393,0.02192229,0.002248847,-0.200056945,0.028629857,0.03045092,0.003082127,-0.590846235,n,n
BSU02000,672,0.020833333,0.02539881,0.002641328,-1.728477843,0.03125,0.031973214,0.003478219,-0.207926519,n,n
BSU02010,963,0.022845275,0.023974039,0.002322546,-0.486003005,0.033229491,0.036727934,0.003133547,-1.116448201,n,n
BSU02019,264,0.022727273,0.018912879,0.003780195,1.009047009,0.003787879,0.010689394,0.004341427,-1.589688058,n,n
BSU02030,771,0.02464332,0.024857328,0.002767947,-0.07731655,0.014267185,0.017590143,0.003178661,-1.045395651,n,n
BSU02040,858,0.017482517,0.019969697,0.002164663,-1.148991549,0.024475524,0.027610723,0.003656358,-0.85746503,n,n
BSU02050,1185,0.016877637,0.019096203,0.001848883,-1.199949013,0.030379747,0.029582279,0.002821287,0.282661092,n,n
BSU02060,1389,0.019438445,0.019191505,0.001747733,0.141291824,0.011519078,0.014854572,0.002212667,-1.507453854,n,n
BSU02070,249,0.024096386,0.019983936,0.00443706,0.926841305,0.032128514,0.032967871,0.004273763,-0.196397644,n,n
BSU02090,804,0.021144279,0.020222637,0.002303296,0.400140575,0.014925373,0.019017413,0.003093012,-1.322995001,n,n
BSU02100,1254,0.014354067,0.016022329,0.001526692,-1.092729748,0.023125997,0.02507815,0.002528218,-0.772145686,n,n
BSU02110,261,0.019157088,0.022233716,0.003225908,-0.953724864,0.011494253,0.015214559,0.004609829,-0.807037828,n,n
BSU02120,1620,0.020987654,0.020517901,0.001669773,0.281327385,0.010493827,0.013091358,0.001943675,-1.336401676,n,n
BSU02130,882,0.019274376,0.019046485,0.002178609,0.104603757,0.023809524,0.020701814,0.003200793,0.970918845,n,n
BSU02140,1335,0.011235955,0.014555805,0.001874102,-1.771435044,0.013483146,0.01303221,0.002307199,0.195447366,n,n
BSU02150,249,0.024096386,0.029212851,0.005039318,-1.015309065,0.020080321,0.014297189,0.003405658,1.698095301,n,n
BSU02160,918,0.016339869,0.013969499,0.002116993,1.119687422,0.025054466,0.029407407,0.003128132,-1.391546518,n,n
BSU02170,1251,0.027178257,0.025884093,0.00229405,0.564139576,0.004796163,0.009836931,0.001948917,-2.58644567,n,n
BSU02180,285,0.038596491,0.033564912,0.004023567,1.250526883,0.014035088,0.02091579,0.005422008,-1.269031977,n,n
BSU02181,123,0.016260163,0.014479675,0.004994653,0.356478891,0.040650407,0.04901626,0.007101252,-1.178081415,n,n
BSU02190,912,0.030701754,0.024904605,0.002730865,2.12282507,0.029605263,0.034123904,0.003244413,-1.392745515,n,n
BSU02200,2199,0.017280582,0.018691678,0.001277707,-1.104397443,0.02728513,0.02803638,0.002103015,-0.357225179,n,n
BSU02210,921,0.027144408,0.028322476,0.00265644,-0.443476033,0.004343105,0.01004126,0.002126107,-2.680088421,n,n
BSU02220,828,0.016908213,0.014018116,0.002191236,1.318934468,0.026570048,0.023324879,0.003071886,1.056409446,n,n
BSU02230,1155,0.017316017,0.016722078,0.002029541,0.29264697,0.024242424,0.024637229,0.002810668,-0.140466616,n,n
BSU02240,942,0.00955414,0.010348195,0.001763376,-0.450303921,0.015923567,0.018312102,0.003003985,-0.795122126,n,n
BSU02250,399,0.015037594,0.016994987,0.003525754,-0.555170213,0.015037594,0.023839599,0.004114057,-2.139495308,n,n
BSU02260,891,0.012345679,0.016530864,0.002335937,-1.791651881,0.017957351,0.018572391,0.002971264,-0.206996105,n,n
BSU02270,534,0.016853933,0.014786517,0.002929758,0.705661027,0.018726592,0.018754682,0.003809798,-0.007373095,n,n
